user_id,dt,geolocation_lat,geolocation_long,country_code,beach_clean_score,trash_category,season,name_of_beach
A,20181023,59.319505,18.163677,SE,4,1,fall,Nacka Strand
A,20181025,59.324602,18.023125,SE,5,1,fall,Smedsuddsbadet
A,20190701,59.324602,18.023125,SE,3,1,summer,Smedsuddsbadet
A,20190703,59.324602,18.023125,SE,4,1,summer,Smedsuddsbadet
A,20190820,59.324602,18.023125,SE,2,1,summer,Smedsuddsbadet
A,20190528,59.324602,18.023125,SE,5,1,spring,Smedsuddsbadet
A,20190815,59.324602,18.023125,SE,3,2,summer,Smedsuddsbadet
A,20181103,59.324602,18.023125,SE,4,2,fall,Smedsuddsbadet
A,20190417,57.259547,17.056089,SE,4,1,spring,Böda
A,20190717,59.324602,18.023125,SE,4,3,summer,Smedsuddsbadet
A,20181031,57.259547,17.056089,SE,2,3,fall,Böda
A,20190407,59.319505,18.163677,SE,4,1,spring,Nacka Strand
A,20190509,55.384608,14.199398,SE,5,3,spring,Sandhammaren
A,20190516,55.384608,14.199398,SE,3,2,spring,Sandhammaren
A,20180927,59.324602,18.023125,SE,4,1,fall,Smedsuddsbadet
A,20190629,59.319505,18.163677,SE,2,2,summer,Nacka Strand
A,20190801,59.324602,18.023125,SE,5,3,summer,Smedsuddsbadet
B,20190509,57.259547,17.056089,SE,3,1,spring,Böda
B,20181007,59.319505,18.163677,SE,4,1,fall,Nacka Strand
B,20181008,55.384608,14.199398,SE,4,3,fall,Sandhammaren
B,20190422,59.324602,18.023125,SE,4,2,spring,Smedsuddsbadet
B,20190502,57.259547,17.056089,SE,2,1,spring,Böda
B,20190628,59.319505,18.163677,SE,4,2,summer,Nacka Strand
B,20190712,55.384608,14.199398,SE,5,2,summer,Sandhammaren
B,20181113,59.324602,18.023125,SE,3,2,fall,Smedsuddsbadet
B,20190519,57.259547,17.056089,SE,4,2,spring,Böda
B,20190719,59.319505,18.163677,SE,2,3,summer,Nacka Strand
B,20181023,55.384608,14.199398,SE,5,3,fall,Sandhammaren
C,20181025,59.324602,18.023125,SE,3,1,fall,Smedsuddsbadet
C,20190701,57.259547,17.056089,SE,4,1,summer,Böda
C,20190703,59.319505,18.163677,SE,4,2,summer,Nacka Strand
C,20190820,55.384608,14.199398,SE,4,2,summer,Sandhammaren
C,20190528,59.324602,18.023125,SE,2,2,spring,Smedsuddsbadet
D,20190815,57.259547,17.056089,SE,4,3,summer,Böda
D,20181103,59.319505,18.163677,SE,5,2,fall,Nacka Strand
D,20190417,55.384608,14.199398,SE,3,1,spring,Sandhammaren
D,20190717,59.324602,18.023125,SE,4,3,summer,Smedsuddsbadet
D,20181031,57.259547,17.056089,SE,2,2,fall,Böda
D,20190407,59.319505,18.163677,SE,5,1,spring,Nacka Strand
D,20190509,55.384608,14.199398,SE,3,2,spring,Sandhammaren
D,20190516,59.324602,18.023125,SE,4,2,spring,Smedsuddsbadet
D,20180927,57.259547,17.056089,SE,4,1,fall,Böda
D,20190629,59.319505,18.163677,SE,4,1,summer,Nacka Strand
D,20190801,55.384608,14.199398,SE,2,2,summer,Sandhammaren
E,20190509,59.324602,18.023125,SE,4,3,spring,Smedsuddsbadet
E,20181007,57.259547,17.056089,SE,5,3,fall,Böda
E,20181008,59.319505,18.163677,SE,3,2,fall,Nacka Strand
E,20190422,55.384608,14.199398,SE,4,2,spring,Sandhammaren
E,20190502,55.384608,14.199398,SE,2,3,spring,Sandhammaren
E,20190628,59.324602,18.023125,SE,5,2,summer,Smedsuddsbadet
F,20190712,59.248440, 5.195654,NO,3,1,summer,Åkrasanden
F,20181113,59.248440, 5.195654,NO,4,3,fall,Åkrasanden
F,20190519,58.145968, 8.007556,NO,4,2,spring,Bystranda
G,20190719,58.886620, 5.600836,NO,4,3,summer,Solastranden
G,20181023,59.248440, 5.195654,NO,2,1,fall,Åkrasanden
G,20181025,59.248440, 5.195654,NO,4,2,fall,Åkrasanden
G,20190701,58.145968, 8.007556,NO,5,2,summer,Bystranda
H,20190703,58.886620, 5.600836,NO,3,3,summer,Solastranden
H,20190820,59.248440, 5.195654,NO,4,2,summer,Åkrasanden
H,20190528,59.248440, 5.195654,NO,2,1,spring,Åkrasanden
H,20190815,58.145968, 8.007556,NO,5,1,summer,Bystranda
H,20181103,58.886620, 5.600836,NO,3,1,fall,Solastranden
H,20190417,58.886620, 5.600836,NO,4,1,spring,Solastranden
I,20190717,66.216355,23.710428,FI,4,2,summer,Hietaniemi
I,20181031,60.139847,24.983295,FI,4,2,fall,Suomenlinna
I,20190407,61.566232,21.518703,FI,2,2,spring,Yyteri
J,20190509,66.216355,23.710428,FI,4,1,spring,Hietaniemi
K,20190516,60.139847,24.983295,FI,5,3,spring,Suomenlinna
K,20180927,61.566232,21.518703,FI,3,2,fall,Yyteri
K,20190629,66.216355,23.710428,FI,4,1,summer,Hietaniemi
K,20190801,60.139847,24.983295,FI,2,2,summer,Suomenlinna
L,20190509,61.566232,21.518703,FI,5,2,spring,Yyteri
L,20181007,60.139847,24.983295,FI,3,1,fall,Suomenlinna
M,20181008,55.655319,12.649124,DK,4,1,fall,Amager Strandpark
M,20190422,56.094661,12.481150,DK,4,2,spring,Hornbaek
M,20190502,55.523954, 8.185616,DK,4,2,spring,Blaavand
M,20190628,55.655319,12.649124,DK,2,1,summer,Amager Strandpark
N,20190712,56.094661,12.481150,DK,4,1,summer,Hornbaek
N,20181113,55.523954, 8.185616,DK,5,3,fall,Blaavand
N,20190519,55.655319,12.649124,DK,3,2,spring,Amager Strandpark
N,20190719,56.094661,12.481150,DK,4,1,summer,Hornbaek
N,20190716,55.523954, 8.185616,DK,2,3,summer,Blaavand
N,20190522,55.655319,12.649124,DK,5,2,spring,Amager Strandpark
N,20190608,56.094661,12.481150,DK,3,2,spring,Hornbaek
N,20181021,55.523954, 8.185616,DK,4,3,fall,Blaavand
N,20181001,55.655319,12.649124,DK,4,2,fall,Amager Strandpark
N,20181101,56.094661,12.481150,DK,4,1,fall,Hornbaek
N,20190815,55.523954, 8.185616,DK,2,3,summer,Blaavand
N,20190328,55.655319,12.649124,DK,4,2,spring,Amager Strandpark
N,20190817,56.094661,12.481150,DK,5,3,summer,Hornbaek
O,20190517,55.523954, 8.185616,DK,3,2,spring,Blaavand
P,20190502,55.655319,12.649124,DK,4,3,spring,Amager Strandpark
P,20180925,56.094661,12.481150,DK,2,3,fall,Hornbaek
Q,20190929,55.523954, 8.185616,DK,5,2,fall,Blaavand
Q,20190630,55.655319,12.649124,DK,3,2,summer,Amager Strandpark
Q,20190604,56.094661,12.481150,DK,4,3,spring,Hornbaek
R,20181029,55.523954, 8.185616,DK,4,3,fall,Blaavand
R,20190501,55.655319,12.649124,DK,4,2,spring,Amager Strandpark
R,20181009,56.094661,12.481150,DK,2,1,fall,Hornbaek
R,20190707,55.523954, 8.185616,DK,4,1,summer,Blaavand
